Index,Name,Category,Year,Link
105,George Bernard Shaw,Physiologyor Medicine,1925,/wiki/George_Bernard_Shaw
106,Austen Chamberlain,Literature,1925,/wiki/Austen_Chamberlain
107,Jean Baptiste Perrin,Year,1926,/wiki/Jean_Baptiste_Perrin
108,Theodor Svedberg,Physics,1926,/wiki/Theodor_Svedberg
109,Johannes Fibiger,Chemistry,1926,/wiki/Johannes_Fibiger
110,Grazia Deledda,Physiologyor Medicine,1926,/wiki/Grazia_Deledda
111,Aristide Briand,Literature,1926,/wiki/Aristide_Briand
112,Arthur Compton,Year,1927,/wiki/Arthur_Compton
113,Heinrich Otto Wieland,Physics,1927,/wiki/Heinrich_Otto_Wieland
114,Julius Wagner-Jauregg,Chemistry,1927,/wiki/Julius_Wagner-Jauregg
115,Henri Bergson,Physiologyor Medicine,1927,/wiki/Henri_Bergson
116,Ferdinand Buisson,Literature,1927,/wiki/Ferdinand_Buisson
117,Owen Willans Richardson,Year,1928,/wiki/Owen_Willans_Richardson
118,Adolf Windaus,Physics,1928,/wiki/Adolf_Windaus
119,Charles Nicolle,Chemistry,1928,/wiki/Charles_Nicolle
120,Sigrid Undset,Physiologyor Medicine,1928,/wiki/Sigrid_Undset
121,Louis de Broglie,Year,1929,/wiki/Louis_de_Broglie
122,Arthur Harden,Physics,1929,/wiki/Arthur_Harden
123,Christiaan Eijkman,Chemistry,1929,/wiki/Christiaan_Eijkman
124,Thomas Mann,Physiologyor Medicine,1929,/wiki/Thomas_Mann
125,Frank B. Kellogg,Literature,1929,/wiki/Frank_B._Kellogg
126,C. V. Raman,Year,1930,/wiki/C._V._Raman
127,Hans Fischer,Physics,1930,/wiki/Hans_Fischer
128,Karl Landsteiner,Chemistry,1930,/wiki/Karl_Landsteiner
129,Sinclair Lewis,Physiologyor Medicine,1930,/wiki/Sinclair_Lewis
130,Nathan Söderblom,Literature,1930,/wiki/Nathan_Söderblom
131,Carl Bosch,Physics,1931,/wiki/Carl_Bosch
132,Otto Heinrich Warburg,Chemistry,1931,/wiki/Otto_Heinrich_Warburg
133,Erik Axel Karlfeldt,Physiologyor Medicine,1931,/wiki/Erik_Axel_Karlfeldt
134,Jane Addams,Literature,1931,/wiki/Jane_Addams
135,Werner Heisenberg,Year,1932,/wiki/Werner_Heisenberg
136,Irving Langmuir,Physics,1932,/wiki/Irving_Langmuir
137,Charles Scott Sherrington,Chemistry,1932,/wiki/Charles_Scott_Sherrington
138,John Galsworthy,Physiologyor Medicine,1932,/wiki/John_Galsworthy
139,Erwin Schrödinger,Year,1933,/wiki/Erwin_Schrödinger
140,Thomas Hunt Morgan,Chemistry,1933,/wiki/Thomas_Hunt_Morgan
141,Ivan Bunin,Physiologyor Medicine,1933,/wiki/Ivan_Bunin
